企業名,担当者,エリア,顧客ランク,案件フェーズ,案件金額,契約更新まで日数,失注兆候,役員商談予定,重要顧客,前回訪問日
北辰テクノ,佐藤,東京,A,契約調整,9800000,18,4,1,1,2026-02-10
青葉商事,田中,神奈川,B,見積提出,5200000,42,2,0,1,2026-02-24
中央物流,鈴木,埼玉,A,稟議中,7600000,35,3,1,1,2026-02-18
城南メディカル,伊藤,東京,A,提案中,8400000,27,5,1,1,2026-02-12
ミライ人材,高橋,千葉,B,見積提出,4300000,65,3,0,0,2026-02-20
東都製作所,渡辺,埼玉,C,保守,1800000,120,1,0,0,2026-01-28
京浜システムズ,中村,東京,A,契約調整,11200000,22,4,1,1,2026-02-08
オレンジフーズ,小林,千葉,B,提案中,3900000,54,2,0,0,2026-03-01
中央ファイナンス,山本,東京,A,稟議中,8700000,31,4,1,1,2026-02-16
さくら流通,加藤,神奈川,B,見積提出,6100000,48,3,0,1,2026-02-14
未来設備サービス,吉田,埼玉,B,提案中,5600000,72,2,0,0,2026-02-26
城東ソリューション,松本,東京,A,契約調整,9300000,15,5,1,1,2026-02-05
